INFO 2025-07-09 00:02:07,541 views 10848 12192 Tentative ajout produit 34, quantité 1
ERROR 2025-07-12 15:57:09,909 views 20484 14904 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 15:57:10,142 views 20484 14904 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 15:57:10,374 views 20484 14904 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 16:07:20,815 views 20484 20012 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 16:07:20,871 views 20484 20012 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 16:09:35,559 views 20484 2120 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 16:09:35,604 views 20484 2120 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 16:09:35,827 views 20484 20012 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 16:12:09,021 views 20484 2120 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 16:12:09,070 views 20484 2120 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
ERROR 2025-07-12 16:12:09,266 views 20484 20012 Erreur dans list: Field name `images` is not valid for model `Produit` in `myapp.serializers.ProduitSerializer`.
